City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,matehuala,23.65,-100.65,30.05,31,62,2.33,MX,1696537640
291,rosetta,31.4044,30.4164,24.91,68,0,5.23,EG,1696537549
292,timbiqui,2.7717,-77.6654,28.41,75,97,3.0,CO,1696537642
293,aweil,8.7682,27.4002,22.65,83,99,1.66,SS,1696537642
294,polyarnyy,69.1989,33.4478,1.36,74,54,9.4,RU,1696537642
295,hithadhoo,-0.6,73.0833,27.36,78,71,4.33,MV,1696537643
296,aasiaat,68.7098,-52.8699,-5.32,76,100,4.38,GL,1696537643
297,belmonte,-15.8631,-38.8828,25.98,81,7,5.47,BR,1696537643
298,south lake tahoe,38.9332,-119.9844,20.34,49,0,1.79,US,1696537643
299,kulhudhuffushi,6.6221,73.07,26.71,84,100,8.44,MV,1696537643
300,shizilu,35.1711,118.8289,14.28,52,100,1.73,CN,1696537643
301,guerrero negro,27.9769,-114.0611,28.23,42,61,4.4,MX,1696537644
302,copiapo,-27.3667,-70.3333,15.83,30,2,4.42,CL,1696537644
303,puerto penasco,31.3167,-113.5333,30.2,36,0,2.6,MX,1696537644
304,san isidro,-12.1167,-77.05,20.77,68,0,5.66,PE,1696537644
305,motueka,-41.1333,173.0167,13.39,72,23,0.43,NZ,1696537644
306,el limon,10.3059,-67.6321,28.85,62,78,1.83,VE,1696537644
307,rumonge,-3.9736,29.4386,26.58,55,64,0.2,BI,1696537644
308,middelburg,-25.7751,29.4648,23.17,19,0,2.16,ZA,1696537644
309,tambopata,-12.7333,-69.1833,38.94,37,20,4.63,PE,1696537645
310,nouadhibou,20.931,-17.0347,27.99,47,100,5.66,MR,1696537645
311,thisted,56.9552,8.6949,13.41,75,100,4.78,DK,1696537645
312,sarangani,5.4033,125.4636,28.19,76,87,3.23,PH,1696537645
313,yuzhno-kurilsk,44.0306,145.8556,14.1,73,100,3.16,RU,1696537645
314,glace bay,46.1969,-59.957,18.25,80,100,3.09,CA,1696537645
315,vuktyl,63.8567,57.3094,8.39,94,100,4.92,RU,1696537645
316,san nicolas,18.1725,120.5953,23.95,100,75,1.03,PH,1696537645
317,tessaoua,13.7574,7.9874,33.2,26,38,4.56,NE,1696537645
318,midvagur,62.0511,-7.1939,8.46,87,100,6.69,FO,1696537646
319,lupane,-18.9315,27.807,19.13,20,2,1.66,ZW,1696537646
320,bamboo flat,11.7,92.7167,26.05,94,75,2.06,IN,1696537646
321,fort bragg,35.139,-79.006,27.68,63,100,3.6,US,1696537646
322,maharajgani,26.1167,84.4833,24.08,95,87,1.68,IN,1696537646
323,champerico,14.3,-91.9167,34.3,77,34,6.5,GT,1696537646
324,mount gambier,-37.8333,140.7667,6.01,74,15,1.94,AU,1696537647
325,the pas,53.8251,-101.2541,10.01,66,100,2.57,CA,1696537647
